,year_2015,age_gap_0.763157894736842,age_gap_0.6842105263157894,Prev. Match_W,Opponent_Kubrat Pulev,Interviewee_Kubrat Pulev,Interviewee_Grigor Dimitrov,Confidence_4,Confidence_2,year_2019,week_4,is_int_prime_age_1,dayofyear_246,dayofyear_149,age_gap_0.9210526315789473,age_gap_0.3421052631578947,age_gap_0.2894736842105263,Psychics_4,Prev. Match_Y,Opponent_Stan Wawrinka,Opponent_Roger Federer,Opponent_Piotr Strus,Opponent_Andy Ruiz,Opp. Age,Interviewee_Tommy Robredo,Interviewee_Svetlozar Savov,Interviewee_Nikolas Basilashvili,Interviewee_Mario Cilic,Interviewee_Hughie Fury,Interviewee_David Gofen,Interviewee_Bogdan Dinu,Interviewee_Andy Ruiz,Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.40909090909090906,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4545454545454545,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9090909090909092,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4545454545454545,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,0,0,0,0,1,0,0
6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5909090909090909,0,0,0,0,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7272727272727274,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.8181818181818182,0,0,0,0,1,0,0,0,0
9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7272727272727274,0,0,0,0,0,0,0,0,0
10,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5909090909090909,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5909090909090909,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2272727272727272,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,0,0,0,0,0,0,1
14,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9090909090909092,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8636363636363636,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7272727272727274,0,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3636363636363637,0,0,0,0,0,0,0,0,0
20,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3636363636363637,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9090909090909092,0,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40909090909090906,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5000000000000001,0,1,0,0,0,0,0,0,0
26,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.18181818181818174,0,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
28,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.31818181818181823,0,0,0,0,0,1,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.31818181818181823,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.18181818181818174,0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.31818181818181823,0,0,0,0,0,0,0,0,1
32,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.40909090909090906,0,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.31818181818181823,0,0,0,0,0,0,0,0,1
34,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5000000000000001,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272728,0,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.7272727272727274,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.6818181818181818,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7272727272727274,0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5454545454545455,0,0,0,0,0,0,0,0,1
40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2272727272727272,0,0,0,0,0,0,0,0,1
41,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.40909090909090906,0,0,0,1,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.31818181818181823,0,0,1,0,0,0,0,0,0
43,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0,0,0,0,0,0,0,0,1
44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.40909090909090906,0,0,0,0,0,0,0,0,1
45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272728,0,0,0,0,0,0,0,0,0
46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31818181818181823,0,0,0,0,0,0,0,0,1
47,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40909090909090906,0,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5454545454545455,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.31818181818181823,1,0,0,0,0,0,0,0,0
